tier,headword,part_of_speech,english_definition,draft_ar,corrected_translation,reviewer_notes
curated,accidental,adjective,"happening by chance, not on purpose",عرضي,,
curated,achieve,verb,to succeed in doing or getting something after effort,يحقق,,
curated,actual,adjective,real; that truly exists,فعلي,,
curated,admit,verb,"to agree that something is true, often unwillingly",يعترف,,
curated,afford,verb,to have enough money for something,يقدر على تحمل,,
curated,afterwards,adverb,later; after that,بعد ذلك,,
curated,agency,noun,"a company that finds work for people, usually for money",وكالة,,
curated,aisle,noun,the long open path you walk along between rows; said like I'LL,ممر,,
curated,altogether,adverb,completely; in total,تماما / إجمالا,,
curated,annoy,verb,to make someone a little angry,يزعج,,
curated,anyway,adverb,in spite of that; used to return to a point,على أي حال,,
curated,apologise,verb,to say sorry,يعتذر,,
curated,appointment,noun,a fixed time to meet or be seen by someone,موعد,,
curated,approach,verb,to come nearer to someone or something,يقترب,,
curated,arrange,verb,to plan or organise something,يرتب,,
curated,arrival,noun,the act of coming to a place,وصول,,
curated,arrow,noun,a sign shaped like → that shows a direction,سهم,,
curated,ashamed,adjective,feeling bad about something you have done,خجل,,
curated,assure,verb,to tell someone firmly so they stop worrying,يؤكد,,
curated,attendant,noun,a person whose job is to help or serve in a place,موظف,,
curated,battery,noun,the part that stores power for a phone or car,بطارية,,
curated,behalf,noun,"in the place of, or for, someone else (on behalf of)",نيابة عن,,
curated,bench,noun,"a long hard seat for two or more people, often outside",مقعد,,
curated,blurred,adjective,not clear; with unclear edges,ضبابي,,
curated,boathouse,noun,a building beside water where boats are kept,بيت القوارب,,
curated,bother,verb,to make the effort; or to annoy someone,يكلف نفسه / يزعج,,
curated,breath,noun,the air you take into and let out of your body,نفَس,,
curated,breathe,verb,to take air in and let it out,يتنفس,,
curated,brief,adjective,short in time,موجز,,
curated,brush,verb,to touch or clean lightly with a quick movement,يمسح / يفرشي,,
curated,builder,noun,a worker who builds or repairs buildings,عامل بناء,,
curated,burnt,adjective,damaged or marked by fire,محترق,,
curated,cafe,noun,a small place where you buy and drink coffee and eat light food,مقهى,,
curated,calendar,noun,a page or book that shows the days and months of a year,تقويم,,
curated,candidate,noun,a person hoping to be chosen for a job,مرشح,,
curated,carpet,noun,a thick soft cover for a floor,سجادة,,
curated,cart,noun,a small vehicle on wheels for selling or carrying things,عربة,,
curated,ceremony,noun,a formal set of actions done on an important occasion,مراسم,,
curated,charming,adjective,pleasant in a way that makes people like you,ساحر,,
curated,chin,noun,the front part of your face below your mouth,ذقن,,
curated,civilised,adjective,polite and reasonable in behaviour,متحضر,,
curated,cleaner,noun,a person whose job is to clean a building,عاملة نظافة,,
curated,cobble,noun,a rounded stone used to cover old streets,حجر رصف,,
curated,colleague,noun,a person you work with,زميل,,
curated,comment,noun,a short spoken or written remark about something,تعليق,,
curated,conclusion,noun,"the end of something, or the decision you reach",استنتاج,,
curated,concourse,noun,a large open hall in a station or airport,بهو المحطة,,
curated,connect,verb,to join one thing to another,يربط,,
curated,consider,verb,to think about something carefully,يفكر في,,
curated,considerable,adjective,large enough to notice; quite a lot,كبير,,
curated,contain,verb,to have something inside,يحتوي على,,
curated,creased,adjective,with untidy folds or lines pressed into it,مجعد,,
curated,crumpled,adjective,crushed into untidy folds,مكرمش,,
curated,dashboard,noun,the panel of controls in front of a driver,لوحة القيادة,,
curated,daylight,noun,the natural light of day,ضوء النهار,,
curated,decent,adjective,good and honest; kind,لائق,,
curated,defeat,noun,the state of having lost; a failure,هزيمة,,
curated,departure,noun,"the act of leaving, especially a train or plane",مغادرة,,
curated,development,noun,a group of new buildings built together,مجمع,,
curated,diary,noun,"a book where you write what happens each day, or your plans",مذكرات / أجندة,,
curated,dignified,adjective,calm and serious in a way that earns respect,وقور,,
curated,disappear,verb,to go out of sight; to stop being there,يختفي,,
curated,docket,noun,a small paper or note that records something,إيصال,,
curated,drag,verb,to pull something heavy along,يجرّ,,
curated,dust,noun,dry dirt like powder that covers things nobody cleans,غبار,,
curated,dusty,adjective,covered with dust,مغبر,,
curated,enormous,adjective,very big,ضخم,,
curated,entire,adjective,whole; with no part missing,كامل,,
curated,entrance,noun,the door or opening where you go into a place,مدخل,,
curated,envelope,noun,the paper cover for a letter,مظروف,,
curated,eventual,adjective,"happening in the end, after some time",نهائي,,
curated,evidence,noun,facts or things that show something is true,دليل,,
curated,exhausted,adjective,very tired,منهك,,
curated,expense,noun,the money that something costs you,نفقة,,
curated,faded,adjective,with the colour or print gone pale,باهت,,
curated,faint,adjective,weak; not clear or strong,خافت,,
curated,fair,adjective,treating people equally and in the right way,عادل,,
curated,feet,noun,more than one foot (the parts you stand on),أقدام,,
curated,fence,noun,a wall of wood or wire around a piece of land,سياج,,
curated,flask,noun,a container that keeps a drink hot or cold,ترمس,,
curated,fold,verb,to bend something so one part lies over another,يطوي,,
curated,folder,noun,a cover for holding papers together,مجلد,,
curated,forever,adverb,for all time; without ending,إلى الأبد,,
curated,fortnight,noun,two weeks,أسبوعان,,
curated,fox,noun,"a wild animal like a small dog, with red-brown fur",ثعلب,,
curated,freeze,verb,to become very cold; to stop still suddenly,يتجمد,,
curated,frown,verb,to move your eyebrows down because you are annoyed or thinking,يعبس,,
