tier,headword,part_of_speech,english_definition,draft_de,corrected_translation,reviewer_notes
curated,accidental,adjective,"happening by chance, not on purpose",zufällig,,
curated,achieve,verb,to succeed in doing or getting something after effort,erreichen,,
curated,actual,adjective,real; that truly exists,tatsächlich,,
curated,admit,verb,"to agree that something is true, often unwillingly",zugeben,,
curated,afford,verb,to have enough money for something,sich leisten,,
curated,afterwards,adverb,later; after that,danach,,
curated,agency,noun,"a company that finds work for people, usually for money",die Agentur,,
curated,aisle,noun,the long open path you walk along between rows; said like I'LL,der Gang,,
curated,altogether,adverb,completely; in total,völlig / insgesamt,,
curated,annoy,verb,to make someone a little angry,ärgern,,
curated,anyway,adverb,in spite of that; used to return to a point,trotzdem,,
curated,apologise,verb,to say sorry,sich entschuldigen,,
curated,appointment,noun,a fixed time to meet or be seen by someone,der Termin,,
curated,approach,verb,to come nearer to someone or something,sich nähern,,
curated,arrange,verb,to plan or organise something,arrangieren,,
curated,arrival,noun,the act of coming to a place,die Ankunft,,
curated,arrow,noun,a sign shaped like → that shows a direction,der Pfeil,,
curated,ashamed,adjective,feeling bad about something you have done,beschämt,,
curated,assure,verb,to tell someone firmly so they stop worrying,versichern,,
curated,attendant,noun,a person whose job is to help or serve in a place,der Angestellte,,
curated,battery,noun,the part that stores power for a phone or car,der Akku,,
curated,behalf,noun,"in the place of, or for, someone else (on behalf of)",im Namen von,,
curated,bench,noun,"a long hard seat for two or more people, often outside",die Bank,,
curated,blurred,adjective,not clear; with unclear edges,verschwommen,,
curated,boathouse,noun,a building beside water where boats are kept,das Bootshaus,,
curated,bother,verb,to make the effort; or to annoy someone,sich bemühen / stören,,
curated,breath,noun,the air you take into and let out of your body,der Atem,,
curated,breathe,verb,to take air in and let it out,atmen,,
curated,brief,adjective,short in time,kurz,,
curated,brush,verb,to touch or clean lightly with a quick movement,streifen / bürsten,,
curated,builder,noun,a worker who builds or repairs buildings,der Bauarbeiter,,
curated,burnt,adjective,damaged or marked by fire,verbrannt,,
curated,cafe,noun,a small place where you buy and drink coffee and eat light food,das Café,,
curated,calendar,noun,a page or book that shows the days and months of a year,der Kalender,,
curated,candidate,noun,a person hoping to be chosen for a job,der Bewerber,,
curated,carpet,noun,a thick soft cover for a floor,der Teppich,,
curated,cart,noun,a small vehicle on wheels for selling or carrying things,der Wagen,,
curated,ceremony,noun,a formal set of actions done on an important occasion,die Zeremonie,,
curated,charming,adjective,pleasant in a way that makes people like you,charmant,,
curated,chin,noun,the front part of your face below your mouth,das Kinn,,
curated,civilised,adjective,polite and reasonable in behaviour,zivilisiert,,
curated,cleaner,noun,a person whose job is to clean a building,die Reinigungskraft,,
curated,cobble,noun,a rounded stone used to cover old streets,der Pflasterstein,,
curated,colleague,noun,a person you work with,der Kollege,,
curated,comment,noun,a short spoken or written remark about something,der Kommentar,,
curated,conclusion,noun,"the end of something, or the decision you reach",der Schluss,,
curated,concourse,noun,a large open hall in a station or airport,die Bahnhofshalle,,
curated,connect,verb,to join one thing to another,verbinden,,
curated,consider,verb,to think about something carefully,erwägen,,
curated,considerable,adjective,large enough to notice; quite a lot,beträchtlich,,
curated,contain,verb,to have something inside,enthalten,,
curated,creased,adjective,with untidy folds or lines pressed into it,zerknittert,,
curated,crumpled,adjective,crushed into untidy folds,zerknüllt,,
curated,dashboard,noun,the panel of controls in front of a driver,das Armaturenbrett,,
curated,daylight,noun,the natural light of day,das Tageslicht,,
curated,decent,adjective,good and honest; kind,anständig,,
curated,defeat,noun,the state of having lost; a failure,die Niederlage,,
curated,departure,noun,"the act of leaving, especially a train or plane",die Abfahrt,,
curated,development,noun,a group of new buildings built together,die Wohnanlage,,
curated,diary,noun,"a book where you write what happens each day, or your plans",das Tagebuch / der Kalender,,
curated,dignified,adjective,calm and serious in a way that earns respect,würdevoll,,
curated,disappear,verb,to go out of sight; to stop being there,verschwinden,,
curated,docket,noun,a small paper or note that records something,der Beleg,,
curated,drag,verb,to pull something heavy along,schleppen,,
curated,dust,noun,dry dirt like powder that covers things nobody cleans,der Staub,,
curated,dusty,adjective,covered with dust,staubig,,
curated,enormous,adjective,very big,riesig,,
curated,entire,adjective,whole; with no part missing,gesamt,,
curated,entrance,noun,the door or opening where you go into a place,der Eingang,,
curated,envelope,noun,the paper cover for a letter,der Umschlag,,
curated,eventual,adjective,"happening in the end, after some time",schließlich,,
curated,evidence,noun,facts or things that show something is true,der Beweis,,
curated,exhausted,adjective,very tired,erschöpft,,
curated,expense,noun,the money that something costs you,die Ausgabe,,
curated,faded,adjective,with the colour or print gone pale,verblasst,,
curated,faint,adjective,weak; not clear or strong,schwach,,
curated,fair,adjective,treating people equally and in the right way,fair,,
curated,feet,noun,more than one foot (the parts you stand on),die Füße,,
curated,fence,noun,a wall of wood or wire around a piece of land,der Zaun,,
curated,flask,noun,a container that keeps a drink hot or cold,die Thermoskanne,,
curated,fold,verb,to bend something so one part lies over another,falten,,
curated,folder,noun,a cover for holding papers together,der Ordner,,
curated,forever,adverb,for all time; without ending,für immer,,
curated,fortnight,noun,two weeks,zwei Wochen,,
curated,fox,noun,"a wild animal like a small dog, with red-brown fur",der Fuchs,,
curated,freeze,verb,to become very cold; to stop still suddenly,frieren,,
curated,frown,verb,to move your eyebrows down because you are annoyed or thinking,die Stirn runzeln,,
curated,furniture,noun,"the tables, chairs and beds in a room",die Möbel,,
curated,further,adverb,at or to a greater distance; more,weiter,,
curated,genuine,adjective,real; not false,echt,,
curated,glad,adjective,pleased and happy about something,froh,,
curated,glance,verb,to look at something quickly,kurz blicken,,
curated,glow,noun,"a soft, steady light",der Schein,,
curated,gown,noun,a long loose piece of clothing (here: a dressing gown worn at home),der Morgenmantel,,
curated,gull,noun,a grey and white sea bird,die Möwe,,
curated,gutter,noun,the low edge of a road where rain water runs away,die Gosse,,
curated,halfway,adverb,at or to the middle point,auf halbem Weg,,
curated,handle,noun,the part of a door or bag you hold to open or carry it,die Klinke,,
curated,haul,verb,to pull or carry something heavy with effort,schleppen,,
curated,heavy,adjective,weighing a lot; hard to lift,schwer,,
curated,hoarding,noun,a temporary wooden fence around a building site,der Bauzaun,,
curated,hollow,adjective,empty inside; without real feeling or value,hohl,,
curated,hum,verb,"to sing with your lips closed; to make a low, steady sound",summen,,
curated,identical,adjective,exactly the same,identisch,,
curated,idle,verb,(of an engine) to run gently while the vehicle waits,im Leerlauf laufen,,
curated,immediate,adjective,"happening at once, with no delay",sofortig,,
curated,improve,verb,to become or make better,verbessern,,
curated,information,noun,facts you are told or that help you know something,die Information,,
curated,inner,adjective,on the inside; further in,innere,,
curated,intact,adjective,not damaged; complete,intakt,,
curated,interrupt,verb,to stop someone by speaking or acting in the middle,unterbrechen,,
curated,interview,noun,a meeting where a company asks you questions about a job,das Vorstellungsgespräch,,
curated,invitation,noun,a spoken or written offer to come somewhere,die Einladung,,
curated,kerb,noun,the raised edge between a pavement and a road,der Bordstein,,
curated,kettle,noun,a container for boiling water,der Wasserkocher,,
curated,kiosk,noun,"a very small shop on a street that sells newspapers, drinks and small things",der Kiosk,,
curated,label,noun,"a small piece of paper or plastic on a thing, with writing on it",das Etikett,,
curated,launderette,noun,a shop with machines where you pay to wash clothes,der Waschsalon,,
curated,layout,noun,the way the parts of something are arranged,die Anordnung,,
curated,lean,verb,"to rest against something, or to bend your body",sich lehnen,,
curated,letterhead,noun,the printed name and address at the top of a firm's paper,der Briefkopf,,
curated,lobby,noun,the open area just inside the entrance of a building,die Lobby,,
curated,lone,adjective,single; on its own,einzeln,,
curated,luggage,noun,the bags and cases you take when you travel,das Gepäck,,
curated,lunchtime,noun,the time in the middle of the day when people eat lunch,die Mittagszeit,,
curated,mattress,noun,the soft part of a bed you lie on,die Matratze,,
curated,midnight,noun,twelve o'clock at night,die Mitternacht,,
curated,murmur,verb,"to say something in a low, soft voice",murmeln,,
curated,napkin,noun,a small piece of cloth or paper for your mouth and hands at a meal,die Serviette,,
curated,natural,adjective,normal; as expected; not made by people,natürlich,,
curated,navigate,verb,to find your way from one place to another,sich zurechtfinden,,
curated,necessary,adjective,needed; that you must have or do,notwendig,,
curated,neither,determiner,not one and not the other of two,keiner von beiden,,
curated,nerve,noun,the courage to do something difficult,der Mut,,
curated,newsstand,noun,a small stall that sells newspapers,der Zeitungskiosk,,
curated,nod,verb,to move your head down and up to mean yes,nicken,,
curated,oar,noun,a long pole with a flat end for rowing a boat,das Ruder,,
curated,obvious,adjective,easy to see or understand,offensichtlich,,
curated,ordinary,adjective,normal; not special,gewöhnlich,,
curated,original,adjective,"first; the earliest, before any change",ursprünglich,,
curated,otherwise,adverb,if not; in a different way,sonst,,
curated,ought,verb,should; used to say the right thing to do (ought to),sollen,,
curated,overhear,verb,to hear what others say without them knowing,zufällig hören,,
curated,pale,adjective,light in colour; (of a face) with little colour,blass,,
curated,panel,noun,"a flat piece of wood, glass or metal",die Tafel,,
curated,particular,adjective,"one special one, not any other",bestimmt,,
curated,patience,noun,the calm you keep while waiting or through trouble,die Geduld,,
curated,pause,verb,to stop for a short time before going on,innehalten,,
curated,pavement,noun,the hard path at the side of a road for people to walk on,der Bürgersteig,,
curated,photograph,noun,a picture made with a camera,das Foto,,
curated,pity,noun,a sad feeling for someone else's trouble,das Mitleid,,
curated,pointed,adjective,said in a sharp way to make a clear point,spitz,,
curated,pour,verb,to make a liquid flow out of a container,gießen,,
curated,precise,adjective,exact and clear,genau,,
curated,pretend,verb,to act as if something is true when it is not,vorgeben,,
curated,proper,adjective,real and correct; of the right kind,richtig,,
curated,proud,adjective,pleased with yourself; or too sure of your own worth,stolz,,
curated,punctual,adjective,arriving exactly on time,pünktlich,,
curated,quay,noun,a hard flat place next to water where boats stop; said like KEY,der Kai,,
curated,queue,noun,a line of people waiting for something,die Schlange,,
curated,radiator,noun,a metal heater on a wall that warms a room,der Heizkörper,,
curated,rather,adverb,quite; to a fairly large degree,ziemlich,,
curated,realise,verb,to suddenly understand something,erkennen,,
curated,reasonable,adjective,fair and sensible; not too much,vernünftig,,
curated,receipt,noun,a small paper that shows you paid for something; said like ri-SEET,die Quittung,,
curated,reception,noun,the desk near the door of a building where visitors go first,der Empfang,,
curated,receptionist,noun,the person who works at the reception desk,der Empfangsmitarbeiter,,
curated,recognise,verb,to know someone or something because you have seen it before,erkennen,,
curated,reference,noun,a number or word used to find something on a list,die Referenznummer,,
curated,refuse,verb,to say firmly that you will not do or accept something,ablehnen,,
curated,regardless,adverb,in spite of everything; without caring about it,ungeachtet dessen,,
curated,registration,noun,the act of putting your name on an official list,die Anmeldung,,
curated,regular,noun,a customer who comes to a place often,der Stammkunde,,
curated,rehearse,verb,to practise words or actions before doing them,proben,,
curated,reliable,adjective,that you can trust to work or be right,zuverlässig,,
curated,reserve,verb,to keep something for later or for a certain person,reservieren,,
curated,restful,adjective,calm and peaceful; giving rest,erholsam,,
curated,rucksack,noun,a bag you carry on your back,der Rucksack,,
curated,scrap,noun,"a small piece of something, especially paper",der Fetzen,,
curated,scrape,verb,to rub against a surface with a rough sound,kratzen,,
curated,screen,noun,the flat part of a phone or computer that shows pictures and words,der Bildschirm,,
curated,sensible,adjective,showing good judgement; wise,vernünftig,,
curated,settle,verb,to sit or rest comfortably; to sort something out,sich niederlassen,,
curated,shrug,verb,to raise your shoulders to show you don't know or care,mit den Schultern zucken,,
curated,shutter,noun,a metal or wooden cover that closes over a window or shop,der Rollladen,,
curated,shuttered,adjective,closed with a metal or wooden cover,mit geschlossenen Läden,,
curated,sigh,verb,"to let out a long breath, often when tired or sad",seufzen,,
curated,signature,noun,your name written in your own way to sign something,die Unterschrift,,
curated,sinister,adjective,seeming evil or that something bad will happen,unheimlich,,
curated,sleeve,noun,the part of clothing that covers your arm,der Ärmel,,
curated,slide,verb,to move smoothly along a surface,gleiten,,
curated,somehow,adverb,in a way you do not know or cannot explain,irgendwie,,
curated,stack,verb,to put things one on top of another,stapeln,,
curated,stall,noun,a small open shop or table in a market,der Stand,,
curated,standard,adjective,normal and usual; the ordinary kind,üblich,,
curated,stark,adjective,"plain and clear, often in a harsh way",schroff,,
curated,steady,adjective,firm and not shaking; regular,ruhig,,
