tier,headword,part_of_speech,english_definition,draft_es,corrected_translation,reviewer_notes
curated,accidental,adjective,"happening by chance, not on purpose",accidental,,
curated,achieve,verb,to succeed in doing or getting something after effort,lograr,,
curated,actual,adjective,real; that truly exists,real,,
curated,admit,verb,"to agree that something is true, often unwillingly",admitir,,
curated,afford,verb,to have enough money for something,permitirse,,
curated,afterwards,adverb,later; after that,después,,
curated,agency,noun,"a company that finds work for people, usually for money",la agencia,,
curated,aisle,noun,the long open path you walk along between rows; said like I'LL,el pasillo,,
curated,altogether,adverb,completely; in total,por completo / en total,,
curated,annoy,verb,to make someone a little angry,molestar,,
curated,anyway,adverb,in spite of that; used to return to a point,de todos modos,,
curated,apologise,verb,to say sorry,disculparse,,
curated,appointment,noun,a fixed time to meet or be seen by someone,la cita,,
curated,approach,verb,to come nearer to someone or something,acercarse,,
curated,arrange,verb,to plan or organise something,organizar,,
curated,arrival,noun,the act of coming to a place,la llegada,,
curated,arrow,noun,a sign shaped like → that shows a direction,la flecha,,
curated,ashamed,adjective,feeling bad about something you have done,avergonzado,,
curated,assure,verb,to tell someone firmly so they stop worrying,asegurar,,
curated,attendant,noun,a person whose job is to help or serve in a place,el encargado,,
curated,battery,noun,the part that stores power for a phone or car,la batería,,
curated,behalf,noun,"in the place of, or for, someone else (on behalf of)",en nombre de,,
curated,bench,noun,"a long hard seat for two or more people, often outside",el banco,,
curated,blurred,adjective,not clear; with unclear edges,borroso,,
curated,boathouse,noun,a building beside water where boats are kept,el cobertizo para botes,,
curated,bother,verb,to make the effort; or to annoy someone,molestarse / molestar,,
curated,breath,noun,the air you take into and let out of your body,el aliento,,
curated,breathe,verb,to take air in and let it out,respirar,,
curated,brief,adjective,short in time,breve,,
curated,brush,verb,to touch or clean lightly with a quick movement,rozar / cepillar,,
curated,builder,noun,a worker who builds or repairs buildings,el constructor,,
curated,burnt,adjective,damaged or marked by fire,quemado,,
curated,cafe,noun,a small place where you buy and drink coffee and eat light food,la cafetería,,
curated,calendar,noun,a page or book that shows the days and months of a year,el calendario,,
curated,candidate,noun,a person hoping to be chosen for a job,el candidato,,
curated,carpet,noun,a thick soft cover for a floor,la alfombra,,
curated,cart,noun,a small vehicle on wheels for selling or carrying things,el carrito,,
curated,ceremony,noun,a formal set of actions done on an important occasion,la ceremonia,,
curated,charming,adjective,pleasant in a way that makes people like you,encantador,,
curated,chin,noun,the front part of your face below your mouth,la barbilla,,
curated,civilised,adjective,polite and reasonable in behaviour,civilizado,,
curated,cleaner,noun,a person whose job is to clean a building,la limpiadora,,
curated,cobble,noun,a rounded stone used to cover old streets,el adoquín,,
curated,colleague,noun,a person you work with,el colega,,
curated,comment,noun,a short spoken or written remark about something,el comentario,,
curated,conclusion,noun,"the end of something, or the decision you reach",la conclusión,,
curated,concourse,noun,a large open hall in a station or airport,el vestíbulo,,
curated,connect,verb,to join one thing to another,conectar,,
curated,consider,verb,to think about something carefully,considerar,,
curated,considerable,adjective,large enough to notice; quite a lot,considerable,,
curated,contain,verb,to have something inside,contener,,
curated,creased,adjective,with untidy folds or lines pressed into it,arrugado,,
curated,crumpled,adjective,crushed into untidy folds,estrujado,,
curated,dashboard,noun,the panel of controls in front of a driver,el salpicadero,,
curated,daylight,noun,the natural light of day,la luz del día,,
curated,decent,adjective,good and honest; kind,decente,,
curated,defeat,noun,the state of having lost; a failure,la derrota,,
curated,departure,noun,"the act of leaving, especially a train or plane",la salida,,
curated,development,noun,a group of new buildings built together,el complejo,,
curated,diary,noun,"a book where you write what happens each day, or your plans",el diario / la agenda,,
curated,dignified,adjective,calm and serious in a way that earns respect,digno,,
curated,disappear,verb,to go out of sight; to stop being there,desaparecer,,
curated,docket,noun,a small paper or note that records something,el comprobante,,
curated,drag,verb,to pull something heavy along,arrastrar,,
curated,dust,noun,dry dirt like powder that covers things nobody cleans,el polvo,,
curated,dusty,adjective,covered with dust,polvoriento,,
curated,enormous,adjective,very big,enorme,,
curated,entire,adjective,whole; with no part missing,entero,,
curated,entrance,noun,the door or opening where you go into a place,la entrada,,
curated,envelope,noun,the paper cover for a letter,el sobre,,
curated,eventual,adjective,"happening in the end, after some time",final,,
curated,evidence,noun,facts or things that show something is true,la prueba,,
curated,exhausted,adjective,very tired,agotado,,
curated,expense,noun,the money that something costs you,el gasto,,
curated,faded,adjective,with the colour or print gone pale,descolorido,,
curated,faint,adjective,weak; not clear or strong,tenue,,
curated,fair,adjective,treating people equally and in the right way,justo,,
curated,feet,noun,more than one foot (the parts you stand on),los pies,,
curated,fence,noun,a wall of wood or wire around a piece of land,la valla,,
curated,flask,noun,a container that keeps a drink hot or cold,el termo,,
curated,fold,verb,to bend something so one part lies over another,doblar,,
curated,folder,noun,a cover for holding papers together,la carpeta,,
curated,forever,adverb,for all time; without ending,para siempre,,
curated,fortnight,noun,two weeks,dos semanas,,
curated,fox,noun,"a wild animal like a small dog, with red-brown fur",el zorro,,
curated,freeze,verb,to become very cold; to stop still suddenly,congelarse,,
curated,frown,verb,to move your eyebrows down because you are annoyed or thinking,fruncir el ceño,,
curated,furniture,noun,"the tables, chairs and beds in a room",los muebles,,
curated,further,adverb,at or to a greater distance; more,más lejos,,
curated,genuine,adjective,real; not false,genuino,,
curated,glad,adjective,pleased and happy about something,contento,,
curated,glance,verb,to look at something quickly,echar un vistazo,,
curated,glow,noun,"a soft, steady light",el resplandor,,
curated,gown,noun,a long loose piece of clothing (here: a dressing gown worn at home),la bata,,
curated,gull,noun,a grey and white sea bird,la gaviota,,
curated,gutter,noun,the low edge of a road where rain water runs away,la cuneta,,
curated,halfway,adverb,at or to the middle point,a medio camino,,
curated,handle,noun,the part of a door or bag you hold to open or carry it,el pomo,,
curated,haul,verb,to pull or carry something heavy with effort,arrastrar,,
curated,heavy,adjective,weighing a lot; hard to lift,pesado,,
curated,hoarding,noun,a temporary wooden fence around a building site,la valla de obra,,
curated,hollow,adjective,empty inside; without real feeling or value,hueco,,
curated,hum,verb,"to sing with your lips closed; to make a low, steady sound",tararear,,
curated,identical,adjective,exactly the same,idéntico,,
curated,idle,verb,(of an engine) to run gently while the vehicle waits,estar al ralentí,,
curated,immediate,adjective,"happening at once, with no delay",inmediato,,
curated,improve,verb,to become or make better,mejorar,,
curated,information,noun,facts you are told or that help you know something,la información,,
curated,inner,adjective,on the inside; further in,interior,,
curated,intact,adjective,not damaged; complete,intacto,,
curated,interrupt,verb,to stop someone by speaking or acting in the middle,interrumpir,,
curated,interview,noun,a meeting where a company asks you questions about a job,la entrevista,,
curated,invitation,noun,a spoken or written offer to come somewhere,la invitación,,
curated,kerb,noun,the raised edge between a pavement and a road,el bordillo,,
curated,kettle,noun,a container for boiling water,el hervidor,,
curated,kiosk,noun,"a very small shop on a street that sells newspapers, drinks and small things",el quiosco,,
curated,label,noun,"a small piece of paper or plastic on a thing, with writing on it",la etiqueta,,
curated,launderette,noun,a shop with machines where you pay to wash clothes,la lavandería,,
curated,layout,noun,the way the parts of something are arranged,la disposición,,
curated,lean,verb,"to rest against something, or to bend your body",apoyarse / inclinarse,,
curated,letterhead,noun,the printed name and address at the top of a firm's paper,el membrete,,
curated,lobby,noun,the open area just inside the entrance of a building,el vestíbulo,,
curated,lone,adjective,single; on its own,solitario,,
curated,luggage,noun,the bags and cases you take when you travel,el equipaje,,
curated,lunchtime,noun,the time in the middle of the day when people eat lunch,la hora del almuerzo,,
curated,mattress,noun,the soft part of a bed you lie on,el colchón,,
curated,midnight,noun,twelve o'clock at night,la medianoche,,
curated,murmur,verb,"to say something in a low, soft voice",murmurar,,
curated,napkin,noun,a small piece of cloth or paper for your mouth and hands at a meal,la servilleta,,
curated,natural,adjective,normal; as expected; not made by people,natural,,
curated,navigate,verb,to find your way from one place to another,orientarse,,
curated,necessary,adjective,needed; that you must have or do,necesario,,
curated,neither,determiner,not one and not the other of two,ninguno de los dos,,
curated,nerve,noun,the courage to do something difficult,el valor,,
curated,newsstand,noun,a small stall that sells newspapers,el quiosco de prensa,,
curated,nod,verb,to move your head down and up to mean yes,asentir con la cabeza,,
curated,oar,noun,a long pole with a flat end for rowing a boat,el remo,,
curated,obvious,adjective,easy to see or understand,obvio,,
curated,ordinary,adjective,normal; not special,corriente,,
curated,original,adjective,"first; the earliest, before any change",original,,
curated,otherwise,adverb,if not; in a different way,de lo contrario,,
curated,ought,verb,should; used to say the right thing to do (ought to),deber (debería),,
curated,overhear,verb,to hear what others say without them knowing,oír por casualidad,,
curated,pale,adjective,light in colour; (of a face) with little colour,pálido,,
curated,panel,noun,"a flat piece of wood, glass or metal",el panel,,
curated,particular,adjective,"one special one, not any other",particular,,
curated,patience,noun,the calm you keep while waiting or through trouble,la paciencia,,
curated,pause,verb,to stop for a short time before going on,hacer una pausa,,
curated,pavement,noun,the hard path at the side of a road for people to walk on,la acera,,
curated,photograph,noun,a picture made with a camera,la fotografía,,
curated,pity,noun,a sad feeling for someone else's trouble,la lástima,,
curated,pointed,adjective,said in a sharp way to make a clear point,mordaz,,
curated,pour,verb,to make a liquid flow out of a container,verter,,
curated,precise,adjective,exact and clear,preciso,,
curated,pretend,verb,to act as if something is true when it is not,fingir,,
curated,proper,adjective,real and correct; of the right kind,adecuado,,
curated,proud,adjective,pleased with yourself; or too sure of your own worth,orgulloso,,
curated,punctual,adjective,arriving exactly on time,puntual,,
curated,quay,noun,a hard flat place next to water where boats stop; said like KEY,el muelle,,
curated,queue,noun,a line of people waiting for something,la cola,,
curated,radiator,noun,a metal heater on a wall that warms a room,el radiador,,
curated,rather,adverb,quite; to a fairly large degree,bastante,,
curated,realise,verb,to suddenly understand something,darse cuenta,,
curated,reasonable,adjective,fair and sensible; not too much,razonable,,
curated,receipt,noun,a small paper that shows you paid for something; said like ri-SEET,el recibo,,
curated,reception,noun,the desk near the door of a building where visitors go first,la recepción,,
curated,receptionist,noun,the person who works at the reception desk,el/la recepcionista,,
curated,recognise,verb,to know someone or something because you have seen it before,reconocer,,
curated,reference,noun,a number or word used to find something on a list,la referencia,,
curated,refuse,verb,to say firmly that you will not do or accept something,rechazar,,
curated,regardless,adverb,in spite of everything; without caring about it,a pesar de todo,,
curated,registration,noun,the act of putting your name on an official list,el registro,,
curated,regular,noun,a customer who comes to a place often,el cliente habitual,,
curated,rehearse,verb,to practise words or actions before doing them,ensayar,,
curated,reliable,adjective,that you can trust to work or be right,fiable,,
curated,reserve,verb,to keep something for later or for a certain person,reservar,,
curated,restful,adjective,calm and peaceful; giving rest,relajante,,
curated,rucksack,noun,a bag you carry on your back,la mochila,,
curated,scrap,noun,"a small piece of something, especially paper",el trozo,,
curated,scrape,verb,to rub against a surface with a rough sound,raspar,,
curated,screen,noun,the flat part of a phone or computer that shows pictures and words,la pantalla,,
curated,sensible,adjective,showing good judgement; wise,sensato,,
curated,settle,verb,to sit or rest comfortably; to sort something out,acomodarse,,
curated,shrug,verb,to raise your shoulders to show you don't know or care,encogerse de hombros,,
curated,shutter,noun,a metal or wooden cover that closes over a window or shop,la persiana,,
curated,shuttered,adjective,closed with a metal or wooden cover,con la persiana bajada,,
curated,sigh,verb,"to let out a long breath, often when tired or sad",suspirar,,
curated,signature,noun,your name written in your own way to sign something,la firma,,
curated,sinister,adjective,seeming evil or that something bad will happen,siniestro,,
curated,sleeve,noun,the part of clothing that covers your arm,la manga,,
curated,slide,verb,to move smoothly along a surface,deslizar,,
curated,somehow,adverb,in a way you do not know or cannot explain,de algún modo,,
curated,stack,verb,to put things one on top of another,apilar,,
curated,stall,noun,a small open shop or table in a market,el puesto,,
curated,standard,adjective,normal and usual; the ordinary kind,estándar,,
curated,stark,adjective,"plain and clear, often in a harsh way",crudo,,
curated,steady,adjective,firm and not shaking; regular,firme,,
curated,steam,noun,the hot white gas that comes off boiling water,el vapor,,
curated,steel,noun,a strong hard metal made mostly of iron,el acero,,
curated,strap,noun,a narrow band of leather or cloth for carrying or fastening,la correa,,
curated,streetlight,noun,a tall lamp that lights a street at night,la farola,,
curated,suppose,verb,to think something is probably true,suponer,,
curated,survive,verb,to stay alive or keep existing through a hard time,sobrevivir,,
curated,suspect,verb,"to think something is probably true, without being sure",sospechar,,
curated,swindle,noun,a clever trick to take someone's money,la estafa,,
curated,switch,verb,to change from one thing to another; to turn on or off,cambiar / apagar,,
curated,tape,verb,to stick something using sticky tape,pegar con cinta,,
curated,thread,noun,a thin line of something; the line of an idea,el hilo,,
curated,tiny,adjective,extremely small,diminuto,,
curated,torn,adjective,pulled apart or damaged; ripped,roto,,
curated,tray,noun,a flat object for carrying or holding things,la bandeja,,
curated,trot,verb,"to move at a quick, light run",trotar,,
curated,truth,noun,what is really true,la verdad,,
curated,unfamiliar,adjective,not known to you,desconocido,,
curated,unkind,adjective,not kind; a little cruel,poco amable,,
curated,update,verb,to add the newest information to something,actualizar,,
curated,useless,adjective,of no use; not working,inútil,,
curated,van,noun,a covered vehicle for carrying goods,la furgoneta,,
curated,vanish,verb,to disappear suddenly and completely,desvanecerse,,
curated,vast,adjective,extremely large in size or amount,vasto,,
curated,vehicle,noun,a machine such as a car or van that carries people or goods,el vehículo,,
curated,visible,adjective,that can be seen,visible,,
curated,warmth,noun,the quality of being warm; gentle heat,el calor,,
curated,waste,verb,"to use time or money badly, for nothing",malgastar,,
curated,watchman,noun,"a person who guards a building, especially at night",el vigilante,,
