tier,headword,part_of_speech,english_definition,draft_fr,corrected_translation,reviewer_notes
curated,accidental,adjective,"happening by chance, not on purpose",accidentel,,
curated,achieve,verb,to succeed in doing or getting something after effort,réaliser,,
curated,actual,adjective,real; that truly exists,réel,,
curated,admit,verb,"to agree that something is true, often unwillingly",admettre,,
curated,afford,verb,to have enough money for something,se permettre,,
curated,afterwards,adverb,later; after that,après,,
curated,agency,noun,"a company that finds work for people, usually for money",l'agence,,
curated,aisle,noun,the long open path you walk along between rows; said like I'LL,l'allée,,
curated,altogether,adverb,completely; in total,tout à fait / en tout,,
curated,annoy,verb,to make someone a little angry,agacer,,
curated,anyway,adverb,in spite of that; used to return to a point,de toute façon,,
curated,apologise,verb,to say sorry,s'excuser,,
curated,appointment,noun,a fixed time to meet or be seen by someone,le rendez-vous,,
curated,approach,verb,to come nearer to someone or something,s'approcher,,
curated,arrange,verb,to plan or organise something,organiser,,
curated,arrival,noun,the act of coming to a place,l'arrivée,,
curated,arrow,noun,a sign shaped like → that shows a direction,la flèche,,
curated,ashamed,adjective,feeling bad about something you have done,honteux,,
curated,assure,verb,to tell someone firmly so they stop worrying,assurer,,
curated,attendant,noun,a person whose job is to help or serve in a place,l'employé,,
curated,battery,noun,the part that stores power for a phone or car,la batterie,,
curated,behalf,noun,"in the place of, or for, someone else (on behalf of)",au nom de,,
curated,bench,noun,"a long hard seat for two or more people, often outside",le banc,,
curated,blurred,adjective,not clear; with unclear edges,flou,,
curated,boathouse,noun,a building beside water where boats are kept,le hangar à bateaux,,
curated,bother,verb,to make the effort; or to annoy someone,se donner la peine / déranger,,
curated,breath,noun,the air you take into and let out of your body,le souffle,,
curated,breathe,verb,to take air in and let it out,respirer,,
curated,brief,adjective,short in time,bref,,
curated,brush,verb,to touch or clean lightly with a quick movement,frôler / brosser,,
curated,builder,noun,a worker who builds or repairs buildings,l'ouvrier du bâtiment,,
curated,burnt,adjective,damaged or marked by fire,brûlé,,
curated,cafe,noun,a small place where you buy and drink coffee and eat light food,le café,,
curated,calendar,noun,a page or book that shows the days and months of a year,le calendrier,,
curated,candidate,noun,a person hoping to be chosen for a job,le candidat,,
curated,carpet,noun,a thick soft cover for a floor,la moquette / le tapis,,
curated,cart,noun,a small vehicle on wheels for selling or carrying things,le chariot,,
curated,ceremony,noun,a formal set of actions done on an important occasion,la cérémonie,,
curated,charming,adjective,pleasant in a way that makes people like you,charmant,,
curated,chin,noun,the front part of your face below your mouth,le menton,,
curated,civilised,adjective,polite and reasonable in behaviour,civilisé,,
curated,cleaner,noun,a person whose job is to clean a building,l'agent d'entretien,,
curated,cobble,noun,a rounded stone used to cover old streets,le pavé,,
curated,colleague,noun,a person you work with,le collègue,,
curated,comment,noun,a short spoken or written remark about something,le commentaire,,
curated,conclusion,noun,"the end of something, or the decision you reach",la conclusion,,
curated,concourse,noun,a large open hall in a station or airport,le hall,,
curated,connect,verb,to join one thing to another,relier,,
curated,consider,verb,to think about something carefully,considérer,,
curated,considerable,adjective,large enough to notice; quite a lot,considérable,,
curated,contain,verb,to have something inside,contenir,,
curated,creased,adjective,with untidy folds or lines pressed into it,froissé,,
curated,crumpled,adjective,crushed into untidy folds,chiffonné,,
curated,dashboard,noun,the panel of controls in front of a driver,le tableau de bord,,
curated,daylight,noun,the natural light of day,la lumière du jour,,
curated,decent,adjective,good and honest; kind,honnête,,
curated,defeat,noun,the state of having lost; a failure,la défaite,,
