tier,headword,part_of_speech,english_definition,draft_it,corrected_translation,reviewer_notes
curated,accidental,adjective,"happening by chance, not on purpose",accidentale,,
curated,achieve,verb,to succeed in doing or getting something after effort,realizzare,,
curated,actual,adjective,real; that truly exists,reale,,
curated,admit,verb,"to agree that something is true, often unwillingly",ammettere,,
curated,afford,verb,to have enough money for something,permettersi,,
curated,afterwards,adverb,later; after that,dopo,,
curated,agency,noun,"a company that finds work for people, usually for money",l'agenzia,,
curated,aisle,noun,the long open path you walk along between rows; said like I'LL,il corridoio,,
curated,altogether,adverb,completely; in total,del tutto / in tutto,,
curated,annoy,verb,to make someone a little angry,infastidire,,
curated,anyway,adverb,in spite of that; used to return to a point,comunque,,
curated,apologise,verb,to say sorry,scusarsi,,
curated,appointment,noun,a fixed time to meet or be seen by someone,l'appuntamento,,
curated,approach,verb,to come nearer to someone or something,avvicinarsi,,
curated,arrange,verb,to plan or organise something,organizzare,,
curated,arrival,noun,the act of coming to a place,l'arrivo,,
curated,arrow,noun,a sign shaped like → that shows a direction,la freccia,,
curated,ashamed,adjective,feeling bad about something you have done,vergognoso,,
curated,assure,verb,to tell someone firmly so they stop worrying,assicurare,,
curated,attendant,noun,a person whose job is to help or serve in a place,l'addetto,,
curated,battery,noun,the part that stores power for a phone or car,la batteria,,
curated,behalf,noun,"in the place of, or for, someone else (on behalf of)",a nome di,,
curated,bench,noun,"a long hard seat for two or more people, often outside",la panchina,,
curated,blurred,adjective,not clear; with unclear edges,sfocato,,
curated,boathouse,noun,a building beside water where boats are kept,la rimessa per barche,,
curated,bother,verb,to make the effort; or to annoy someone,preoccuparsi / disturbare,,
curated,breath,noun,the air you take into and let out of your body,il respiro,,
curated,breathe,verb,to take air in and let it out,respirare,,
curated,brief,adjective,short in time,breve,,
curated,brush,verb,to touch or clean lightly with a quick movement,sfiorare / spazzolare,,
curated,builder,noun,a worker who builds or repairs buildings,il muratore,,
curated,burnt,adjective,damaged or marked by fire,bruciato,,
curated,cafe,noun,a small place where you buy and drink coffee and eat light food,il caffè,,
curated,calendar,noun,a page or book that shows the days and months of a year,il calendario,,
curated,candidate,noun,a person hoping to be chosen for a job,il candidato,,
curated,carpet,noun,a thick soft cover for a floor,la moquette,,
curated,cart,noun,a small vehicle on wheels for selling or carrying things,il carretto,,
curated,ceremony,noun,a formal set of actions done on an important occasion,la cerimonia,,
curated,charming,adjective,pleasant in a way that makes people like you,affascinante,,
curated,chin,noun,the front part of your face below your mouth,il mento,,
curated,civilised,adjective,polite and reasonable in behaviour,civile,,
curated,cleaner,noun,a person whose job is to clean a building,l'addetta alle pulizie,,
curated,cobble,noun,a rounded stone used to cover old streets,il ciottolo,,
curated,colleague,noun,a person you work with,il collega,,
curated,comment,noun,a short spoken or written remark about something,il commento,,
curated,conclusion,noun,"the end of something, or the decision you reach",la conclusione,,
curated,concourse,noun,a large open hall in a station or airport,l'atrio,,
curated,connect,verb,to join one thing to another,collegare,,
curated,consider,verb,to think about something carefully,considerare,,
curated,considerable,adjective,large enough to notice; quite a lot,considerevole,,
curated,contain,verb,to have something inside,contenere,,
curated,creased,adjective,with untidy folds or lines pressed into it,spiegazzato,,
curated,crumpled,adjective,crushed into untidy folds,accartocciato,,
curated,dashboard,noun,the panel of controls in front of a driver,il cruscotto,,
curated,daylight,noun,the natural light of day,la luce del giorno,,
curated,decent,adjective,good and honest; kind,perbene,,
curated,defeat,noun,the state of having lost; a failure,la sconfitta,,
curated,departure,noun,"the act of leaving, especially a train or plane",la partenza,,
curated,development,noun,a group of new buildings built together,il complesso edilizio,,
curated,diary,noun,"a book where you write what happens each day, or your plans",il diario / l'agenda,,
curated,dignified,adjective,calm and serious in a way that earns respect,dignitoso,,
curated,disappear,verb,to go out of sight; to stop being there,scomparire,,
curated,docket,noun,a small paper or note that records something,lo scontrino,,
curated,drag,verb,to pull something heavy along,trascinare,,
curated,dust,noun,dry dirt like powder that covers things nobody cleans,la polvere,,
curated,dusty,adjective,covered with dust,polveroso,,
curated,enormous,adjective,very big,enorme,,
curated,entire,adjective,whole; with no part missing,intero,,
curated,entrance,noun,the door or opening where you go into a place,l'ingresso,,
curated,envelope,noun,the paper cover for a letter,la busta,,
curated,eventual,adjective,"happening in the end, after some time",finale,,
curated,evidence,noun,facts or things that show something is true,la prova,,
curated,exhausted,adjective,very tired,esausto,,
curated,expense,noun,the money that something costs you,la spesa,,
curated,faded,adjective,with the colour or print gone pale,sbiadito,,
curated,faint,adjective,weak; not clear or strong,debole,,
curated,fair,adjective,treating people equally and in the right way,giusto,,
curated,feet,noun,more than one foot (the parts you stand on),i piedi,,
curated,fence,noun,a wall of wood or wire around a piece of land,la recinzione,,
curated,flask,noun,a container that keeps a drink hot or cold,il thermos,,
curated,fold,verb,to bend something so one part lies over another,piegare,,
curated,folder,noun,a cover for holding papers together,la cartella,,
curated,forever,adverb,for all time; without ending,per sempre,,
curated,fortnight,noun,two weeks,due settimane,,
curated,fox,noun,"a wild animal like a small dog, with red-brown fur",la volpe,,
curated,freeze,verb,to become very cold; to stop still suddenly,gelare,,
curated,frown,verb,to move your eyebrows down because you are annoyed or thinking,aggrottare le sopracciglia,,
curated,furniture,noun,"the tables, chairs and beds in a room",i mobili,,
curated,further,adverb,at or to a greater distance; more,più lontano,,
curated,genuine,adjective,real; not false,genuino,,
curated,glad,adjective,pleased and happy about something,contento,,
curated,glance,verb,to look at something quickly,dare un'occhiata,,
curated,glow,noun,"a soft, steady light",il bagliore,,
curated,gown,noun,a long loose piece of clothing (here: a dressing gown worn at home),la vestaglia,,
curated,gull,noun,a grey and white sea bird,il gabbiano,,
curated,gutter,noun,the low edge of a road where rain water runs away,il rigagnolo,,
curated,halfway,adverb,at or to the middle point,a metà strada,,
curated,handle,noun,the part of a door or bag you hold to open or carry it,la maniglia,,
curated,haul,verb,to pull or carry something heavy with effort,trascinare,,
curated,heavy,adjective,weighing a lot; hard to lift,pesante,,
curated,hoarding,noun,a temporary wooden fence around a building site,la recinzione,,
curated,hollow,adjective,empty inside; without real feeling or value,vuoto,,
curated,hum,verb,"to sing with your lips closed; to make a low, steady sound",canticchiare,,
curated,identical,adjective,exactly the same,identico,,
curated,idle,verb,(of an engine) to run gently while the vehicle waits,stare al minimo,,
curated,immediate,adjective,"happening at once, with no delay",immediato,,
curated,improve,verb,to become or make better,migliorare,,
curated,information,noun,facts you are told or that help you know something,l'informazione,,
curated,inner,adjective,on the inside; further in,interno,,
curated,intact,adjective,not damaged; complete,intatto,,
curated,interrupt,verb,to stop someone by speaking or acting in the middle,interrompere,,
curated,interview,noun,a meeting where a company asks you questions about a job,il colloquio,,
curated,invitation,noun,a spoken or written offer to come somewhere,l'invito,,
curated,kerb,noun,the raised edge between a pavement and a road,il cordolo,,
curated,kettle,noun,a container for boiling water,il bollitore,,
curated,kiosk,noun,"a very small shop on a street that sells newspapers, drinks and small things",il chiosco,,
curated,label,noun,"a small piece of paper or plastic on a thing, with writing on it",l'etichetta,,
curated,launderette,noun,a shop with machines where you pay to wash clothes,la lavanderia a gettoni,,
curated,layout,noun,the way the parts of something are arranged,la disposizione,,
