tier,headword,part_of_speech,english_definition,draft_pt,corrected_translation,reviewer_notes
curated,accidental,adjective,"happening by chance, not on purpose",acidental,,
curated,achieve,verb,to succeed in doing or getting something after effort,alcançar,,
curated,actual,adjective,real; that truly exists,real,,
curated,admit,verb,"to agree that something is true, often unwillingly",admitir,,
curated,afford,verb,to have enough money for something,poder pagar,,
curated,afterwards,adverb,later; after that,depois,,
curated,agency,noun,"a company that finds work for people, usually for money",a agência,,
curated,aisle,noun,the long open path you walk along between rows; said like I'LL,o corredor,,
curated,altogether,adverb,completely; in total,completamente / no total,,
curated,annoy,verb,to make someone a little angry,irritar,,
curated,anyway,adverb,in spite of that; used to return to a point,de qualquer forma,,
curated,apologise,verb,to say sorry,pedir desculpa,,
curated,appointment,noun,a fixed time to meet or be seen by someone,a marcação,,
curated,approach,verb,to come nearer to someone or something,aproximar-se,,
curated,arrange,verb,to plan or organise something,organizar,,
curated,arrival,noun,the act of coming to a place,a chegada,,
curated,arrow,noun,a sign shaped like → that shows a direction,a seta,,
curated,ashamed,adjective,feeling bad about something you have done,envergonhado,,
curated,assure,verb,to tell someone firmly so they stop worrying,assegurar,,
curated,attendant,noun,a person whose job is to help or serve in a place,o funcionário,,
curated,battery,noun,the part that stores power for a phone or car,a bateria,,
curated,behalf,noun,"in the place of, or for, someone else (on behalf of)",em nome de,,
curated,bench,noun,"a long hard seat for two or more people, often outside",o banco,,
curated,blurred,adjective,not clear; with unclear edges,desfocado,,
curated,boathouse,noun,a building beside water where boats are kept,o abrigo de barcos,,
curated,bother,verb,to make the effort; or to annoy someone,incomodar-se / incomodar,,
curated,breath,noun,the air you take into and let out of your body,o fôlego,,
curated,breathe,verb,to take air in and let it out,respirar,,
curated,brief,adjective,short in time,breve,,
curated,brush,verb,to touch or clean lightly with a quick movement,roçar / escovar,,
curated,builder,noun,a worker who builds or repairs buildings,o construtor,,
curated,burnt,adjective,damaged or marked by fire,queimado,,
curated,cafe,noun,a small place where you buy and drink coffee and eat light food,o café,,
curated,calendar,noun,a page or book that shows the days and months of a year,o calendário,,
curated,candidate,noun,a person hoping to be chosen for a job,o candidato,,
curated,carpet,noun,a thick soft cover for a floor,o tapete,,
curated,cart,noun,a small vehicle on wheels for selling or carrying things,o carrinho,,
curated,ceremony,noun,a formal set of actions done on an important occasion,a cerimónia,,
curated,charming,adjective,pleasant in a way that makes people like you,encantador,,
curated,chin,noun,the front part of your face below your mouth,o queixo,,
curated,civilised,adjective,polite and reasonable in behaviour,civilizado,,
curated,cleaner,noun,a person whose job is to clean a building,a faxineira,,
curated,cobble,noun,a rounded stone used to cover old streets,a pedra da calçada,,
curated,colleague,noun,a person you work with,o colega,,
curated,comment,noun,a short spoken or written remark about something,o comentário,,
curated,conclusion,noun,"the end of something, or the decision you reach",a conclusão,,
curated,concourse,noun,a large open hall in a station or airport,o átrio,,
curated,connect,verb,to join one thing to another,ligar,,
curated,consider,verb,to think about something carefully,considerar,,
curated,considerable,adjective,large enough to notice; quite a lot,considerável,,
curated,contain,verb,to have something inside,conter,,
curated,creased,adjective,with untidy folds or lines pressed into it,amarrotado,,
curated,crumpled,adjective,crushed into untidy folds,amassado,,
curated,dashboard,noun,the panel of controls in front of a driver,o painel de instrumentos,,
curated,daylight,noun,the natural light of day,a luz do dia,,
curated,decent,adjective,good and honest; kind,decente,,
curated,defeat,noun,the state of having lost; a failure,a derrota,,
curated,departure,noun,"the act of leaving, especially a train or plane",a partida,,
curated,development,noun,a group of new buildings built together,o empreendimento,,
curated,diary,noun,"a book where you write what happens each day, or your plans",o diário / a agenda,,
curated,dignified,adjective,calm and serious in a way that earns respect,digno,,
curated,disappear,verb,to go out of sight; to stop being there,desaparecer,,
curated,docket,noun,a small paper or note that records something,o talão,,
curated,drag,verb,to pull something heavy along,arrastar,,
curated,dust,noun,dry dirt like powder that covers things nobody cleans,a poeira,,
curated,dusty,adjective,covered with dust,empoeirado,,
curated,enormous,adjective,very big,enorme,,
curated,entire,adjective,whole; with no part missing,inteiro,,
curated,entrance,noun,the door or opening where you go into a place,a entrada,,
curated,envelope,noun,the paper cover for a letter,o envelope,,
curated,eventual,adjective,"happening in the end, after some time",final,,
curated,evidence,noun,facts or things that show something is true,a prova,,
curated,exhausted,adjective,very tired,exausto,,
curated,expense,noun,the money that something costs you,a despesa,,
curated,faded,adjective,with the colour or print gone pale,desbotado,,
curated,faint,adjective,weak; not clear or strong,tênue,,
curated,fair,adjective,treating people equally and in the right way,justo,,
curated,feet,noun,more than one foot (the parts you stand on),os pés,,
curated,fence,noun,a wall of wood or wire around a piece of land,a cerca,,
curated,flask,noun,a container that keeps a drink hot or cold,a garrafa térmica,,
curated,fold,verb,to bend something so one part lies over another,dobrar,,
curated,folder,noun,a cover for holding papers together,a pasta,,
curated,forever,adverb,for all time; without ending,para sempre,,
curated,fortnight,noun,two weeks,quinze dias,,
curated,fox,noun,"a wild animal like a small dog, with red-brown fur",a raposa,,
curated,freeze,verb,to become very cold; to stop still suddenly,gelar,,
curated,frown,verb,to move your eyebrows down because you are annoyed or thinking,franzir a testa,,
curated,furniture,noun,"the tables, chairs and beds in a room",os móveis,,
curated,further,adverb,at or to a greater distance; more,mais longe,,
curated,genuine,adjective,real; not false,genuíno,,
curated,glad,adjective,pleased and happy about something,contente,,
curated,glance,verb,to look at something quickly,dar uma olhadela,,
curated,glow,noun,"a soft, steady light",o brilho,,
curated,gown,noun,a long loose piece of clothing (here: a dressing gown worn at home),o roupão,,
curated,gull,noun,a grey and white sea bird,a gaivota,,
curated,gutter,noun,the low edge of a road where rain water runs away,a sarjeta,,
curated,halfway,adverb,at or to the middle point,a meio caminho,,
curated,handle,noun,the part of a door or bag you hold to open or carry it,a maçaneta,,
curated,haul,verb,to pull or carry something heavy with effort,arrastar,,
curated,heavy,adjective,weighing a lot; hard to lift,pesado,,
curated,hoarding,noun,a temporary wooden fence around a building site,o tapume,,
curated,hollow,adjective,empty inside; without real feeling or value,oco,,
curated,hum,verb,"to sing with your lips closed; to make a low, steady sound",cantarolar,,
curated,identical,adjective,exactly the same,idêntico,,
curated,idle,verb,(of an engine) to run gently while the vehicle waits,ficar em ponto morto,,
curated,immediate,adjective,"happening at once, with no delay",imediato,,
curated,improve,verb,to become or make better,melhorar,,
curated,information,noun,facts you are told or that help you know something,a informação,,
curated,inner,adjective,on the inside; further in,interior,,
curated,intact,adjective,not damaged; complete,intacto,,
curated,interrupt,verb,to stop someone by speaking or acting in the middle,interromper,,
curated,interview,noun,a meeting where a company asks you questions about a job,a entrevista,,
curated,invitation,noun,a spoken or written offer to come somewhere,o convite,,
curated,kerb,noun,the raised edge between a pavement and a road,o meio-fio,,
