tier,headword,part_of_speech,english_definition,draft_ru,corrected_translation,reviewer_notes
curated,accidental,adjective,"happening by chance, not on purpose",случайный,,
curated,achieve,verb,to succeed in doing or getting something after effort,достигать,,
curated,actual,adjective,real; that truly exists,фактический,,
curated,admit,verb,"to agree that something is true, often unwillingly",признавать,,
curated,afford,verb,to have enough money for something,позволить себе,,
curated,afterwards,adverb,later; after that,потом,,
curated,agency,noun,"a company that finds work for people, usually for money",агентство,,
curated,aisle,noun,the long open path you walk along between rows; said like I'LL,проход,,
curated,altogether,adverb,completely; in total,совсем / всего,,
curated,annoy,verb,to make someone a little angry,раздражать,,
curated,anyway,adverb,in spite of that; used to return to a point,всё равно,,
curated,apologise,verb,to say sorry,извиняться,,
curated,appointment,noun,a fixed time to meet or be seen by someone,встреча,,
curated,approach,verb,to come nearer to someone or something,приближаться,,
curated,arrange,verb,to plan or organise something,устраивать,,
curated,arrival,noun,the act of coming to a place,прибытие,,
curated,arrow,noun,a sign shaped like → that shows a direction,стрелка,,
curated,ashamed,adjective,feeling bad about something you have done,пристыженный,,
curated,assure,verb,to tell someone firmly so they stop worrying,заверять,,
curated,attendant,noun,a person whose job is to help or serve in a place,служащий,,
curated,battery,noun,the part that stores power for a phone or car,аккумулятор,,
curated,behalf,noun,"in the place of, or for, someone else (on behalf of)",от имени,,
curated,bench,noun,"a long hard seat for two or more people, often outside",скамейка,,
curated,blurred,adjective,not clear; with unclear edges,размытый,,
curated,boathouse,noun,a building beside water where boats are kept,лодочный сарай,,
curated,bother,verb,to make the effort; or to annoy someone,беспокоиться / беспокоить,,
curated,breath,noun,the air you take into and let out of your body,дыхание,,
curated,breathe,verb,to take air in and let it out,дышать,,
curated,brief,adjective,short in time,краткий,,
curated,brush,verb,to touch or clean lightly with a quick movement,задевать / чистить,,
curated,builder,noun,a worker who builds or repairs buildings,строитель,,
curated,burnt,adjective,damaged or marked by fire,сгоревший,,
curated,cafe,noun,a small place where you buy and drink coffee and eat light food,кафе,,
curated,calendar,noun,a page or book that shows the days and months of a year,календарь,,
curated,candidate,noun,a person hoping to be chosen for a job,кандидат,,
curated,carpet,noun,a thick soft cover for a floor,ковёр,,
curated,cart,noun,a small vehicle on wheels for selling or carrying things,тележка,,
curated,ceremony,noun,a formal set of actions done on an important occasion,церемония,,
curated,charming,adjective,pleasant in a way that makes people like you,обаятельный,,
curated,chin,noun,the front part of your face below your mouth,подбородок,,
curated,civilised,adjective,polite and reasonable in behaviour,цивилизованный,,
curated,cleaner,noun,a person whose job is to clean a building,уборщица,,
curated,cobble,noun,a rounded stone used to cover old streets,булыжник,,
curated,colleague,noun,a person you work with,коллега,,
curated,comment,noun,a short spoken or written remark about something,замечание,,
curated,conclusion,noun,"the end of something, or the decision you reach",вывод,,
curated,concourse,noun,a large open hall in a station or airport,вестибюль вокзала,,
curated,connect,verb,to join one thing to another,соединять,,
curated,consider,verb,to think about something carefully,обдумывать,,
curated,considerable,adjective,large enough to notice; quite a lot,значительный,,
curated,contain,verb,to have something inside,содержать,,
curated,creased,adjective,with untidy folds or lines pressed into it,мятый,,
curated,crumpled,adjective,crushed into untidy folds,смятый,,
curated,dashboard,noun,the panel of controls in front of a driver,приборная панель,,
curated,daylight,noun,the natural light of day,дневной свет,,
curated,decent,adjective,good and honest; kind,порядочный,,
curated,defeat,noun,the state of having lost; a failure,поражение,,
curated,departure,noun,"the act of leaving, especially a train or plane",отправление,,
curated,development,noun,a group of new buildings built together,новостройка,,
curated,diary,noun,"a book where you write what happens each day, or your plans",дневник / ежедневник,,
curated,dignified,adjective,calm and serious in a way that earns respect,полный достоинства,,
curated,disappear,verb,to go out of sight; to stop being there,исчезать,,
curated,docket,noun,a small paper or note that records something,квитанция,,
curated,drag,verb,to pull something heavy along,тащить,,
curated,dust,noun,dry dirt like powder that covers things nobody cleans,пыль,,
curated,dusty,adjective,covered with dust,пыльный,,
curated,enormous,adjective,very big,огромный,,
curated,entire,adjective,whole; with no part missing,весь,,
curated,entrance,noun,the door or opening where you go into a place,вход,,
curated,envelope,noun,the paper cover for a letter,конверт,,
curated,eventual,adjective,"happening in the end, after some time",конечный,,
curated,evidence,noun,facts or things that show something is true,доказательство,,
curated,exhausted,adjective,very tired,измотанный,,
curated,expense,noun,the money that something costs you,расход,,
curated,faded,adjective,with the colour or print gone pale,выцветший,,
curated,faint,adjective,weak; not clear or strong,слабый,,
curated,fair,adjective,treating people equally and in the right way,справедливый,,
curated,feet,noun,more than one foot (the parts you stand on),ступни,,
curated,fence,noun,a wall of wood or wire around a piece of land,забор,,
curated,flask,noun,a container that keeps a drink hot or cold,термос,,
curated,fold,verb,to bend something so one part lies over another,складывать,,
curated,folder,noun,a cover for holding papers together,папка,,
curated,forever,adverb,for all time; without ending,навсегда,,
curated,fortnight,noun,two weeks,две недели,,
curated,fox,noun,"a wild animal like a small dog, with red-brown fur",лиса,,
curated,freeze,verb,to become very cold; to stop still suddenly,замерзать,,
curated,frown,verb,to move your eyebrows down because you are annoyed or thinking,хмуриться,,
curated,furniture,noun,"the tables, chairs and beds in a room",мебель,,
curated,further,adverb,at or to a greater distance; more,дальше,,
curated,genuine,adjective,real; not false,подлинный,,
curated,glad,adjective,pleased and happy about something,рад,,
curated,glance,verb,to look at something quickly,взглянуть,,
curated,glow,noun,"a soft, steady light",свечение,,
curated,gown,noun,a long loose piece of clothing (here: a dressing gown worn at home),халат,,
curated,gull,noun,a grey and white sea bird,чайка,,
curated,gutter,noun,the low edge of a road where rain water runs away,сточный жёлоб,,
curated,halfway,adverb,at or to the middle point,на полпути,,
curated,handle,noun,the part of a door or bag you hold to open or carry it,ручка,,
curated,haul,verb,to pull or carry something heavy with effort,тащить,,
curated,heavy,adjective,weighing a lot; hard to lift,тяжёлый,,
curated,hoarding,noun,a temporary wooden fence around a building site,строительный забор,,
curated,hollow,adjective,empty inside; without real feeling or value,пустой,,
curated,hum,verb,"to sing with your lips closed; to make a low, steady sound",напевать,,
curated,identical,adjective,exactly the same,одинаковый,,
curated,idle,verb,(of an engine) to run gently while the vehicle waits,работать на холостом ходу,,
curated,immediate,adjective,"happening at once, with no delay",немедленный,,
curated,improve,verb,to become or make better,улучшать,,
curated,information,noun,facts you are told or that help you know something,информация,,
curated,inner,adjective,on the inside; further in,внутренний,,
curated,intact,adjective,not damaged; complete,целый,,
curated,interrupt,verb,to stop someone by speaking or acting in the middle,прерывать,,
curated,interview,noun,a meeting where a company asks you questions about a job,собеседование,,
curated,invitation,noun,a spoken or written offer to come somewhere,приглашение,,
curated,kerb,noun,the raised edge between a pavement and a road,бордюр,,
curated,kettle,noun,a container for boiling water,чайник,,
curated,kiosk,noun,"a very small shop on a street that sells newspapers, drinks and small things",киоск,,
curated,label,noun,"a small piece of paper or plastic on a thing, with writing on it",бирка,,
curated,launderette,noun,a shop with machines where you pay to wash clothes,прачечная самообслуживания,,
curated,layout,noun,the way the parts of something are arranged,планировка,,
curated,lean,verb,"to rest against something, or to bend your body",прислоняться / наклоняться,,
curated,letterhead,noun,the printed name and address at the top of a firm's paper,фирменный бланк,,
curated,lobby,noun,the open area just inside the entrance of a building,вестибюль,,
curated,lone,adjective,single; on its own,одинокий,,
curated,luggage,noun,the bags and cases you take when you travel,багаж,,
curated,lunchtime,noun,the time in the middle of the day when people eat lunch,обеденное время,,
curated,mattress,noun,the soft part of a bed you lie on,матрас,,
curated,midnight,noun,twelve o'clock at night,полночь,,
curated,murmur,verb,"to say something in a low, soft voice",бормотать,,
curated,napkin,noun,a small piece of cloth or paper for your mouth and hands at a meal,салфетка,,
curated,natural,adjective,normal; as expected; not made by people,естественный,,
curated,navigate,verb,to find your way from one place to another,ориентироваться,,
curated,necessary,adjective,needed; that you must have or do,необходимый,,
curated,neither,determiner,not one and not the other of two,ни тот ни другой,,
curated,nerve,noun,the courage to do something difficult,смелость,,
curated,newsstand,noun,a small stall that sells newspapers,газетный киоск,,
curated,nod,verb,to move your head down and up to mean yes,кивать,,
curated,oar,noun,a long pole with a flat end for rowing a boat,весло,,
curated,obvious,adjective,easy to see or understand,очевидный,,
curated,ordinary,adjective,normal; not special,обычный,,
curated,original,adjective,"first; the earliest, before any change",первоначальный,,
curated,otherwise,adverb,if not; in a different way,иначе,,
curated,ought,verb,should; used to say the right thing to do (ought to),следует,,
curated,overhear,verb,to hear what others say without them knowing,подслушать,,
curated,pale,adjective,light in colour; (of a face) with little colour,бледный,,
curated,panel,noun,"a flat piece of wood, glass or metal",панель,,
curated,particular,adjective,"one special one, not any other",особый,,
curated,patience,noun,the calm you keep while waiting or through trouble,терпение,,
curated,pause,verb,to stop for a short time before going on,делать паузу,,
curated,pavement,noun,the hard path at the side of a road for people to walk on,тротуар,,
curated,photograph,noun,a picture made with a camera,фотография,,
curated,pity,noun,a sad feeling for someone else's trouble,жалость,,
curated,pointed,adjective,said in a sharp way to make a clear point,колкий,,
curated,pour,verb,to make a liquid flow out of a container,наливать,,
curated,precise,adjective,exact and clear,точный,,
curated,pretend,verb,to act as if something is true when it is not,делать вид,,
curated,proper,adjective,real and correct; of the right kind,настоящий,,
curated,proud,adjective,pleased with yourself; or too sure of your own worth,гордый,,
curated,punctual,adjective,arriving exactly on time,пунктуальный,,
curated,quay,noun,a hard flat place next to water where boats stop; said like KEY,набережная,,
curated,queue,noun,a line of people waiting for something,очередь,,
curated,radiator,noun,a metal heater on a wall that warms a room,радиатор,,
curated,rather,adverb,quite; to a fairly large degree,довольно,,
curated,realise,verb,to suddenly understand something,осознавать,,
curated,reasonable,adjective,fair and sensible; not too much,разумный,,
curated,receipt,noun,a small paper that shows you paid for something; said like ri-SEET,квитанция,,
curated,reception,noun,the desk near the door of a building where visitors go first,рецепция,,
curated,receptionist,noun,the person who works at the reception desk,администратор,,
curated,recognise,verb,to know someone or something because you have seen it before,узнавать,,
curated,reference,noun,a number or word used to find something on a list,учётный номер,,
curated,refuse,verb,to say firmly that you will not do or accept something,отказываться,,
curated,regardless,adverb,in spite of everything; without caring about it,несмотря ни на что,,
curated,registration,noun,the act of putting your name on an official list,регистрация,,
curated,regular,noun,a customer who comes to a place often,завсегдатай,,
curated,rehearse,verb,to practise words or actions before doing them,репетировать,,
curated,reliable,adjective,that you can trust to work or be right,надёжный,,
curated,reserve,verb,to keep something for later or for a certain person,резервировать,,
curated,restful,adjective,calm and peaceful; giving rest,умиротворяющий,,
curated,rucksack,noun,a bag you carry on your back,рюкзак,,
curated,scrap,noun,"a small piece of something, especially paper",клочок,,
curated,scrape,verb,to rub against a surface with a rough sound,скрести,,
curated,screen,noun,the flat part of a phone or computer that shows pictures and words,экран,,
curated,sensible,adjective,showing good judgement; wise,разумный,,
curated,settle,verb,to sit or rest comfortably; to sort something out,устраиваться,,
curated,shrug,verb,to raise your shoulders to show you don't know or care,пожимать плечами,,
curated,shutter,noun,a metal or wooden cover that closes over a window or shop,ставень,,
curated,shuttered,adjective,closed with a metal or wooden cover,с закрытыми ставнями,,
curated,sigh,verb,"to let out a long breath, often when tired or sad",вздыхать,,
curated,signature,noun,your name written in your own way to sign something,подпись,,
curated,sinister,adjective,seeming evil or that something bad will happen,зловещий,,
curated,sleeve,noun,the part of clothing that covers your arm,рукав,,
curated,slide,verb,to move smoothly along a surface,скользить,,
curated,somehow,adverb,in a way you do not know or cannot explain,как-то,,
curated,stack,verb,to put things one on top of another,складывать в стопку,,
curated,stall,noun,a small open shop or table in a market,прилавок,,
curated,standard,adjective,normal and usual; the ordinary kind,стандартный,,
curated,stark,adjective,"plain and clear, often in a harsh way",резкий,,
curated,steady,adjective,firm and not shaking; regular,устойчивый,,
curated,steam,noun,the hot white gas that comes off boiling water,пар,,
curated,steel,noun,a strong hard metal made mostly of iron,сталь,,
curated,strap,noun,a narrow band of leather or cloth for carrying or fastening,ремень,,
curated,streetlight,noun,a tall lamp that lights a street at night,уличный фонарь,,
curated,suppose,verb,to think something is probably true,полагать,,
curated,survive,verb,to stay alive or keep existing through a hard time,выживать,,
curated,suspect,verb,"to think something is probably true, without being sure",подозревать,,
curated,swindle,noun,a clever trick to take someone's money,афёра,,
curated,switch,verb,to change from one thing to another; to turn on or off,переключать,,
curated,tape,verb,to stick something using sticky tape,приклеивать скотчем,,
curated,thread,noun,a thin line of something; the line of an idea,нить,,
curated,tiny,adjective,extremely small,крошечный,,
curated,torn,adjective,pulled apart or damaged; ripped,порванный,,
curated,tray,noun,a flat object for carrying or holding things,поднос,,
curated,trot,verb,"to move at a quick, light run",бежать трусцой,,
curated,truth,noun,what is really true,правда,,
curated,unfamiliar,adjective,not known to you,незнакомый,,
curated,unkind,adjective,not kind; a little cruel,недобрый,,
curated,update,verb,to add the newest information to something,обновлять,,
curated,useless,adjective,of no use; not working,бесполезный,,
curated,van,noun,a covered vehicle for carrying goods,фургон,,
curated,vanish,verb,to disappear suddenly and completely,исчезать,,
curated,vast,adjective,extremely large in size or amount,обширный,,
curated,vehicle,noun,a machine such as a car or van that carries people or goods,транспортное средство,,
curated,visible,adjective,that can be seen,видимый,,
curated,warmth,noun,the quality of being warm; gentle heat,тепло,,
curated,waste,verb,"to use time or money badly, for nothing",тратить впустую,,
curated,watchman,noun,"a person who guards a building, especially at night",сторож,,
curated,wave,verb,to move your hand to say hello or goodbye,махать,,
curated,weed,noun,a wild plant growing where it is not wanted,сорняк,,
curated,weep,verb,to cry,плакать,,
curated,whoever,pronoun,any person who; the person who,кто бы ни,,
curated,windscreen,noun,the big glass window at the front of a car,лобовое стекло,,
curated,within,preposition,inside; before the end of a period,в пределах,,
curated,wrap,verb,to put something around another thing to cover it,заворачивать,,
coverage,able,,,способный,,
coverage,about,,,о,,
coverage,above,,,над,,
coverage,accident,,,несчастный случай,,
coverage,across,,,через,,
coverage,add,,,добавлять,,
coverage,address,,,адрес,,
coverage,advice,,,совет,,
coverage,against,,,против,,
coverage,ago,,,назад,,
coverage,air,,,воздух,,
coverage,almost,,,почти,,
coverage,alone,,,один,,
coverage,along,,,вдоль,,
coverage,already,,,уже,,
coverage,always,,,всегда,,
coverage,another,,,ещё один,,
coverage,answer,,,отвечать,,
coverage,anyone,,,кто-нибудь,,
coverage,anything,,,что-нибудь,,
coverage,anywhere,,,где угодно,,
coverage,around,,,вокруг,,
coverage,arrive,,,прибывать,,
coverage,ask,,,спрашивать,,
coverage,away,,,прочь,,
coverage,back,,,назад,,
coverage,bag,,,сумка,,
coverage,bank,,,банк/берег,,
coverage,bar,,,бар,,
coverage,bed,,,кровать,,
coverage,begin,,,начинать,,
coverage,begun,,,начатый,,
coverage,behind,,,позади,,
coverage,believe,,,верить,,
coverage,belong,,,принадлежать,,
coverage,below,,,ниже,,
coverage,beneath,,,под,,
coverage,beside,,,рядом с,,
coverage,best,,,лучший,,
coverage,better,,,лучше,,
coverage,big,,,большой,,
coverage,black,,,чёрный,,
coverage,board,,,табло,,
coverage,book,,,книга,,
coverage,both,,,оба,,
coverage,bottom,,,дно,,
coverage,breakfast,,,завтрак,,
coverage,bridge,,,мост,,
coverage,bright,,,яркий,,
coverage,brother,,,брат,,
coverage,brought,,,принёс,,
coverage,building,,,здание,,
coverage,burn,,,гореть,,
coverage,bus,,,автобус,,
coverage,business,,,дело,,
coverage,cab,,,такси,,
coverage,cafe,,,кафе,,
coverage,call,,,звонить,,
coverage,calm,,,спокойный,,
coverage,came,,,пришёл,,
coverage,cannot,,,не может,,
coverage,cap,,,кепка,,
coverage,car,,,машина,,
coverage,card,,,карточка,,
coverage,care,,,забота,,
coverage,careful,,,осторожный,,
coverage,carry,,,нести,,
coverage,case,,,случай,,
coverage,catch,,,ловить,,
coverage,certain,,,определённый,,
coverage,chair,,,стул,,
coverage,chance,,,шанс,,
coverage,change,,,менять,,
coverage,circle,,,круг,,
coverage,city,,,город,,
coverage,clean,,,чистый,,
coverage,clear,,,ясный,,
coverage,climb,,,взбираться,,
