tier,headword,part_of_speech,english_definition,draft_zh,corrected_translation,reviewer_notes
curated,accidental,adjective,"happening by chance, not on purpose",偶然的,,
curated,achieve,verb,to succeed in doing or getting something after effort,实现,,
curated,actual,adjective,real; that truly exists,实际的,,
curated,admit,verb,"to agree that something is true, often unwillingly",承认,,
curated,afford,verb,to have enough money for something,负担得起,,
curated,afterwards,adverb,later; after that,之后,,
curated,agency,noun,"a company that finds work for people, usually for money",中介机构,,
curated,aisle,noun,the long open path you walk along between rows; said like I'LL,过道,,
curated,altogether,adverb,completely; in total,完全 / 总共,,
curated,annoy,verb,to make someone a little angry,惹恼,,
curated,anyway,adverb,in spite of that; used to return to a point,反正,,
curated,apologise,verb,to say sorry,道歉,,
curated,appointment,noun,a fixed time to meet or be seen by someone,预约,,
curated,approach,verb,to come nearer to someone or something,靠近,,
curated,arrange,verb,to plan or organise something,安排,,
curated,arrival,noun,the act of coming to a place,到达,,
curated,arrow,noun,a sign shaped like → that shows a direction,箭头,,
curated,ashamed,adjective,feeling bad about something you have done,羞愧的,,
curated,assure,verb,to tell someone firmly so they stop worrying,向…保证,,
curated,attendant,noun,a person whose job is to help or serve in a place,服务员,,
curated,battery,noun,the part that stores power for a phone or car,电池,,
curated,behalf,noun,"in the place of, or for, someone else (on behalf of)",代表,,
curated,bench,noun,"a long hard seat for two or more people, often outside",长椅,,
curated,blurred,adjective,not clear; with unclear edges,模糊的,,
curated,boathouse,noun,a building beside water where boats are kept,船屋,,
curated,bother,verb,to make the effort; or to annoy someone,费心 / 打扰,,
curated,breath,noun,the air you take into and let out of your body,呼吸,,
curated,breathe,verb,to take air in and let it out,呼吸,,
curated,brief,adjective,short in time,简短的,,
curated,brush,verb,to touch or clean lightly with a quick movement,轻拂 / 刷,,
curated,builder,noun,a worker who builds or repairs buildings,建筑工人,,
curated,burnt,adjective,damaged or marked by fire,烧焦的,,
curated,cafe,noun,a small place where you buy and drink coffee and eat light food,咖啡馆,,
curated,calendar,noun,a page or book that shows the days and months of a year,日历,,
curated,candidate,noun,a person hoping to be chosen for a job,应聘者,,
curated,carpet,noun,a thick soft cover for a floor,地毯,,
curated,cart,noun,a small vehicle on wheels for selling or carrying things,手推车,,
curated,ceremony,noun,a formal set of actions done on an important occasion,仪式,,
curated,charming,adjective,pleasant in a way that makes people like you,迷人的,,
curated,chin,noun,the front part of your face below your mouth,下巴,,
curated,civilised,adjective,polite and reasonable in behaviour,文明的,,
curated,cleaner,noun,a person whose job is to clean a building,清洁工,,
curated,cobble,noun,a rounded stone used to cover old streets,鹅卵石,,
curated,colleague,noun,a person you work with,同事,,
curated,comment,noun,a short spoken or written remark about something,评论,,
curated,conclusion,noun,"the end of something, or the decision you reach",结论,,
curated,concourse,noun,a large open hall in a station or airport,车站大厅,,
curated,connect,verb,to join one thing to another,连接,,
curated,consider,verb,to think about something carefully,考虑,,
curated,considerable,adjective,large enough to notice; quite a lot,相当大的,,
curated,contain,verb,to have something inside,包含,,
curated,creased,adjective,with untidy folds or lines pressed into it,起皱的,,
curated,crumpled,adjective,crushed into untidy folds,皱巴巴的,,
curated,dashboard,noun,the panel of controls in front of a driver,仪表板,,
curated,daylight,noun,the natural light of day,日光,,
curated,decent,adjective,good and honest; kind,正派的,,
curated,defeat,noun,the state of having lost; a failure,失败,,
curated,departure,noun,"the act of leaving, especially a train or plane",出发,,
curated,development,noun,a group of new buildings built together,开发项目,,
curated,diary,noun,"a book where you write what happens each day, or your plans",日记 / 记事本,,
curated,dignified,adjective,calm and serious in a way that earns respect,有尊严的,,
curated,disappear,verb,to go out of sight; to stop being there,消失,,
curated,docket,noun,a small paper or note that records something,单据,,
curated,drag,verb,to pull something heavy along,拖,,
curated,dust,noun,dry dirt like powder that covers things nobody cleans,灰尘,,
curated,dusty,adjective,covered with dust,满是灰尘的,,
